City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Tignere,CM,7.3667,12.65,86.81,39,83,2.15,broken clouds
314,Caravelas,BR,-17.7125,-39.2481,75.11,89,17,0.74,few clouds
315,Meulaboh,ID,4.1363,96.1285,83.5,74,100,4.68,heavy intensity rain
316,Gazojak,TM,41.1875,61.4036,92.98,6,89,11.95,overcast clouds
317,Ustyuzhna,RU,58.8394,36.4321,55.02,38,81,9.71,broken clouds
318,Ballitoville,ZA,-29.539,31.2144,71.74,60,75,10.36,broken clouds
319,Hasaki,JP,35.7333,140.8333,66.6,93,100,14.7,moderate rain
320,Pacific Grove,US,36.6177,-121.9166,51.66,90,100,10.36,overcast clouds
321,Cayenne,GF,4.9333,-52.3333,73.44,100,100,2.3,overcast clouds
322,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,13.8,light rain
323,Nuuk,GL,64.1835,-51.7216,29.01,100,100,11.5,light snow
324,Samarai,PG,-10.6167,150.6667,82.11,80,80,7.4,heavy intensity rain
325,Tirumullaivasal,IN,11.2333,79.8333,85.78,63,100,7.25,overcast clouds
326,Ngorongoro,TZ,-3.2397,35.4875,64.0,65,95,6.15,overcast clouds
327,Inverell,AU,-29.7833,151.1167,53.11,85,93,1.01,overcast clouds
328,Dalvik,IS,65.9702,-18.5286,28.33,48,17,3.74,few clouds
329,Burnie,AU,-41.0667,145.9167,56.44,89,41,5.26,scattered clouds
330,Kunya,NG,12.2233,8.5325,84.36,51,0,13.8,clear sky
331,Hofn,IS,64.2539,-15.2082,32.94,25,100,3.65,overcast clouds
332,Sobolevo,RU,54.4299,31.8996,55.22,43,100,2.95,overcast clouds
333,Victor Harbor,AU,-35.5667,138.6167,58.68,91,70,7.58,broken clouds
334,Ust-Maya,RU,60.4167,134.5333,34.25,100,99,2.89,overcast clouds
335,Thinadhoo,MV,0.5333,72.9333,82.54,78,37,10.2,scattered clouds
336,Terra Santa,BR,-2.1042,-56.4869,72.7,98,52,2.55,moderate rain
337,Vazhiny,RU,60.9644,34.0222,56.48,45,85,13.09,overcast clouds
338,Half Moon Bay,US,37.4636,-122.4286,54.05,88,100,9.22,overcast clouds
339,Alyangula,AU,-13.8483,136.4192,77.86,73,98,13.11,overcast clouds
340,Paamiut,GL,61.994,-49.6678,31.68,57,3,8.1,clear sky
341,Ilave,PE,-16.0833,-69.6667,34.41,58,2,2.26,clear sky
